,Linked Name,Name,dist,id
240,O. Dembélé,Ousmane Dembélé,0.7537878787878789,231443
241,C. Tolisso,Corentin Tolisso,0.7587050880154328,219683
242,N. Kanté,N'Golo Kanté,0.7939097744360901,215914
243,B. Matuidi,Blaise Matuidi,0.8269162210338681,170890
244,S. N'Zonzi,Steven Nzonzi,0.7342857142857143,187936
245,M. Medel,Steve Mandanda,0.7119345185706741,213601
246,A. Gilardi,Adil Rami,0.764102564102564,237406
247,Caio,Nabil Fekir,0.6888888888888888,203239
248,D. Sidibé,Djibril Sidibé,0.8004761904761906,201042
249,F. Borini,Florian Thauvin,0.7321428571428572,186200
250,L. Hernández,Lucas Hernández,0.9488888888888889,220814
251,Benjamin Meseira,Benjamin Mendy,0.8284918146987112,230529
252,A. Areola,Alphonse Areola,0.7830765639589169,193105
253,Pedro Pereira,Pedro Gallese,0.846031746031746,230824
254,Alberto Soro,Alberto Rodríguez,0.8286447368421053,243016
255,Adão Morrinhos,Aldo Corzo,0.7653220181353174,230287
256,A. Santamaría,Anderson Santamaría,0.8335438596491228,236260
257,Miguel Flaño,Miguel Araujo,0.8359545454545454,146974
258,Miguel Cardoso,Miguel Trauco,0.8672619047619048,224890
259,P. Hurtado,Paolo Hurtado,0.7867909867909867,211124
260,Christian Rivera,Christian Cueva,0.8366666666666667,229038
261,Paolito Serra,Paolo Guerrero,0.822798396482607,230393
262,J. Farfán,Jefferson Farfán,0.788,158133
263,Raúl Guti,Raúl Ruidíaz,0.827591706539075,225204
264,Carlos Travisso,Carlos Cáceda,0.8283333333333334,230171
265,R. Tapia,Renato Tapia,0.8171743697478993,220673
266,A. Polo,Andy Polo,0.9509565217391305,223637
267,Christian Rivera,Christian Ramos,0.8431884057971015,229038
